trait,FW,SSC,pH,SRF,RD,PFD,MFF,F6,LS,LW,PRW,AF
FW,1.0,0.25490802166088666,0.03093196723720709,-0.12756538947271406,0.1427545671489201,-0.13265996554704915,-0.06408841009260148,0.01995068185113912,-0.1038387966991664,0.170599971372647,0.27453248763803534,0.05278183027227112
SSC,0.25490802166088666,1.0,0.21839253946526724,-0.17775701457112475,0.32286897243270124,-0.1568355530928782,-0.15101638195380993,-0.1085361372574224,-0.21444359317385406,-0.1269920413963487,-0.14220959103655206,-0.21423081173002056
pH,0.03093196723720709,0.21839253946526724,1.0,-0.5117053308961389,0.46292696135830563,-0.43839705483385855,-0.6870974653151832,-0.6278515901953334,-0.6348761084344632,-0.5939958072240985,-0.6311553866794631,-0.649212970263998
SRF,-0.12756538947271406,-0.17775701457112475,-0.5117053308961389,1.0,-0.3058386817777431,0.981660571261711,0.688230788799208,0.6001178818014508,0.8404670174160459,0.8435890589924593,0.5561949167718557,0.6794581518348091
RD,0.1427545671489201,0.32286897243270124,0.46292696135830563,-0.3058386817777431,1.0,-0.20179763018794125,-0.5706199283606207,-0.4359475147474603,-0.6825665506957487,-0.3153142055759882,-0.5876090594116566,-0.6185444037941313
PFD,-0.13265996554704915,-0.1568355530928782,-0.43839705483385855,0.981660571261711,-0.20179763018794125,1.0,0.5743038502512363,0.49463687062456935,0.763717726897372,0.7694250740464461,0.4333484622716514,0.5881627496667022
MFF,-0.06408841009260148,-0.15101638195380993,-0.6870974653151832,0.688230788799208,-0.5706199283606207,0.5743038502512363,1.0,0.9120135758561554,0.8574864872232958,0.8523543862204591,0.9033618960527057,0.89553839479163
F6,0.01995068185113912,-0.1085361372574224,-0.6278515901953334,0.6001178818014508,-0.4359475147474603,0.49463687062456935,0.9120135758561554,1.0,0.7455742056812098,0.8098608611164423,0.8490491538569789,0.8076994314798742
LS,-0.1038387966991664,-0.21444359317385406,-0.6348761084344632,0.8404670174160459,-0.6825665506957487,0.763717726897372,0.8574864872232958,0.7455742056812098,1.0,0.7872948091559957,0.7726120843100832,0.8574641485077632
LW,0.170599971372647,-0.1269920413963487,-0.5939958072240985,0.8435890589924593,-0.3153142055759882,0.7694250740464461,0.8523543862204591,0.8098608611164423,0.7872948091559957,1.0,0.8589597520440803,0.8379908552806484
PRW,0.27453248763803534,-0.14220959103655206,-0.6311553866794631,0.5561949167718557,-0.5876090594116566,0.4333484622716514,0.9033618960527057,0.8490491538569789,0.7726120843100832,0.8589597520440803,1.0,0.9052555185303204
AF,0.05278183027227112,-0.21423081173002056,-0.649212970263998,0.6794581518348091,-0.6185444037941313,0.5881627496667022,0.89553839479163,0.8076994314798742,0.8574641485077632,0.8379908552806484,0.9052555185303204,1.0
