sample_id,cultivar_code,trait,value
313_A110_B01-0015,L313,AF,48.55721174699218
313_A110_B01-0021,L313,AF,37.88571552224518
313_A110_B01-0024,L313,AF,41.578287636698576
313_A110_B01-0033,L313,AF,37.60354797738644
313_A110_B01-0034,L313,AF,30.185531303875667
313_A110_B01-0035,L313,AF,27.27609684028218
313_A110_B01-0039,L313,AF,64.61711149311634
313_A110_B01-0040,L313,AF,66.25299903046815
313_A110_B01-0041,L313,AF,48.06100145197439
313_A110_B01-0043,L313,AF,47.46096777988154
313_A110_B01-0048,L313,AF,78.1267937607993
313_A110_B01-0053,L313,AF,27.116643172338815
313_A110_B01-0060,L313,AF,32.1055200592982
313_A110_B01-0089,L313,AF,32.161596582446194
313_A110_B01-0091,L313,AF,30.932821628266957
313_A110_B01-0101,L313,AF,56.14316050176048
313_A110_B01-0108,L313,AF,31.80074341226839
313_A110_B01-0110,L313,AF,37.331941263147094
313_A110_B01-0111,L313,AF,32.77605843158243
313_A110_B01-0115,L313,AF,24.285596845877933
313_A110_B01-0122,L313,AF,23.518821045273413
313_A110_B01-0124,L313,AF,34.92526183467354
313_A110_B01-0127,L313,AF,41.843647099022235
313_A110_B01-0139,L313,AF,34.30113161947732
313_A110_B01-0141,L313,AF,48.33245942212051
313_A110_B01-0158,L313,AF,32.15415937778466
313_A110_B01-0161,L313,AF,27.940090472464252
313_A110_B01-0163,L313,AF,27.29677226924126
313_A110_B01-0170,L313,AF,23.617884611365092
313_A110_B01-0179,L313,AF,55.613631529859006
313_A110_B01-0185,L313,AF,54.58461989288867
313_A110_B01-0190,L313,AF,38.70648542869247
313_A110_B01-0192,L313,AF,32.76564634505627
313_A110_B01-0200,L313,AF,38.77550268795153
313_A110_B01-0201,L313,AF,33.69797432142662
313_A110_B01-0206,L313,AF,21.761707071938552
313_A110_B01-0214,L313,AF,43.422268160480186
313_A110_B01-0215,L313,AF,55.06119596759999
313_A110_B01-0222,L313,AF,46.533548358587815
313_A110_B01-0235,L313,AF,34.995171558492
313_A110_B01-0236,L313,AF,37.40080977831293
313_A110_B01-0243,L313,AF,34.20727409664871
313_A110_B01-0266,L313,AF,49.74731323693141
313_A110_B01-0268,L313,AF,36.533631714777655
313_A110_B01-0272,L313,AF,50.86423263300112
313_A110_B01-0274,L313,AF,44.8409893217151
313_A110_B01-0275,L313,AF,29.570474478366513
313_A110_B01-0278,L313,AF,32.11875828359574
313_A110_B01-0291,L313,AF,49.9789077900917
313_A110_B01-0308,L313,AF,41.752913202151476
313_A110_B01-0314,L313,AF,29.61881630866651
313_A110_B01-0320,L313,AF,19.066464102597347
313_A110_B01-0321,L313,AF,37.64341139437229
313_A110_B01-0323,L313,AF,37.371209703760016
313_A110_B01-0326,L313,AF,48.34941624874882
313_A110_B01-0333,L313,AF,24.700890354178192
313_A110_B01-0340,L313,AF,22.601367478226138
313_A110_B01-0344,L313,AF,36.14600460781831
313_A110_B01-0347,L313,AF,65.0371648124
313_A110_B01-0350,L313,AF,23.955533702998896
A181_B01-0004,LA191,AF,83.5201058372531
A181_B01-0008,LA191,AF,65.18486769697813
A181_B01-0012,LA191,AF,77.26050816182341
A181_B01-0015,LA191,AF,82.99950151094548
A181_B01-0019,LA191,AF,102.99457498758241
A181_B01-0021,LA191,AF,49.70328498533512
A181_B01-0022,LA191,AF,95.35552459153072
A181_B01-0023,LA191,AF,65.71841275939684
A181_B01-0024,LA191,AF,90.84218257063004
A181_B01-0027,LA191,AF,84.43547698699514
A181_B01-0028,LA191,AF,78.88940472679337
