trait,PC1,PC2,PC3
FW,-0.003837434956170247,0.7091196421680508,-0.0820343498424809
SSC,-0.08942725375047995,0.5235488782526917,0.26486096969210843
pH,-0.27285073700645934,0.03223394495836158,0.16012929597625172
SRF,0.3090652926536889,-0.13181328166502404,0.4521684120060302
RD,-0.2243908446179773,0.21846611278184802,0.5118284000596954
PFD,0.2753517800775061,-0.15242797025121968,0.5455673753736271
MFF,0.351208604219567,0.047059650703463865,-0.1000295111416289
F6,0.3230434684381796,0.13680038085760057,-0.09010245299932954
LS,0.3488685477150583,-0.10872652586834608,0.032701820427094394
LW,0.34047990086152813,0.17479975177595192,0.20216198923782075
PRW,0.3319848324675846,0.25733000374964565,-0.23724988182862433
AF,0.34683567433131773,0.06439186118418358,-0.13060840416593877
