sample_id,cultivar_code,PC1,PC2
313_A110_B01-0003,L313,-3.496313238082763,-1.7016419089224575
313_A110_B01-0004,L313,-3.4657596059540516,-1.561971445994192
313_A110_B01-0006,L313,-4.364902536505093,-1.739741879291685
313_A110_B01-0007,L313,-2.352906288660628,-2.10318909934475
313_A110_B01-0008,L313,-3.439859820929618,-1.5913414230126715
313_A110_B01-0009,L313,-3.5489061044642476,-1.6406788015494704
313_A110_B01-0013,L313,-3.4359678696388714,-1.7166265249276673
313_A110_B01-0015,L313,-2.1171060265066557,-2.086086431497948
313_A110_B01-0016,L313,-2.522680099219693,-1.5881010856350422
313_A110_B01-0018,L313,-2.903584000753721,-1.8329069299907241
313_A110_B01-0019,L313,-3.4933722945767265,-1.4806310444437591
313_A110_B01-0021,L313,-3.0352653932217644,-1.4744936889068054
313_A110_B01-0022,L313,-3.606255177775899,-1.6474693094848698
313_A110_B01-0023,L313,-2.545925880088254,-2.087263482273288
313_A110_B01-0024,L313,-2.8534132970416426,-1.675968881581679
313_A110_B01-0025,L313,-2.508921862138612,-1.4174303364492071
313_A110_B01-0026,L313,-3.061734942722625,-2.3763757608258937
313_A110_B01-0027,L313,-4.348112253626466,-1.9787315919159216
313_A110_B01-0028,L313,-4.729566872773391,-1.7167794293031262
313_A110_B01-0029,L313,-1.2156798338957007,-1.8615166589719694
313_A110_B01-0030,L313,-2.120840984430507,-1.9540069726746678
313_A110_B01-0032,L313,-3.52808483712822,-1.3017782074799125
313_A110_B01-0033,L313,-3.454822451694893,-1.9850658194426078
313_A110_B01-0034,L313,-4.237258208852957,-1.0330029817771575
313_A110_B01-0035,L313,-4.487629176499963,-2.1668168466639166
313_A110_B01-0036,L313,-3.1102121805086655,-1.3175771982544564
313_A110_B01-0038,L313,-0.69991600634578,-1.3190938785891582
313_A110_B01-0039,L313,-2.098429446631129,-1.2543448558246844
313_A110_B01-0040,L313,-0.828372531717981,-1.1301043207182304
313_A110_B01-0041,L313,-3.160682410503576,-1.3545382394668954
313_A110_B01-0042,L313,-0.9579574637608231,-1.1510054186826877
313_A110_B01-0043,L313,-4.287778399545958,-1.4050257865082245
313_A110_B01-0044,L313,-2.807151937517233,-1.7907219179607259
313_A110_B01-0045,L313,-4.2235398668398645,-1.0954200525161444
313_A110_B01-0046,L313,-4.389047757136095,-1.558076757750056
313_A110_B01-0047,L313,-3.4512960709966176,-1.858206804699004
313_A110_B01-0048,L313,-0.6307685567873147,-1.828991424768242
313_A110_B01-0049,L313,-4.12146575768082,-1.1549091680717083
313_A110_B01-0052,L313,-4.004498284296005,-1.8981670637536043
313_A110_B01-0053,L313,-3.999687244350186,-1.394031175920816
313_A110_B01-0054,L313,-3.467701616653853,-1.9129439096800749
313_A110_B01-0055,L313,-2.983081556502855,-1.8589343159019085
313_A110_B01-0056,L313,-1.0184999326777588,-1.806931552494606
313_A110_B01-0057,L313,-2.1440248632249306,-1.750892575459183
313_A110_B01-0058,L313,-3.6280777845439314,-1.1529880973662872
313_A110_B01-0059,L313,-2.825325752377705,-2.0309928320595425
313_A110_B01-0060,L313,-3.727645243037366,-1.5440982735487243
313_A110_B01-0062,L313,-4.438585372708887,-1.873929253573927
313_A110_B01-0063,L313,-3.7634219375111915,-2.142913454422679
313_A110_B01-0064,L313,-2.5927493351573636,-1.2846592760284237
313_A110_B01-0065,L313,-1.8739948091875098,-2.1477613375363642
313_A110_B01-0066,L313,-4.233889794370743,-1.1745581572976411
313_A110_B01-0067,L313,-4.310780109461484,-1.8515110208163936
313_A110_B01-0069,L313,-4.388369742422889,-1.9167962965953287
313_A110_B01-0070,L313,-3.318875399228145,-1.0800400242450297
313_A110_B01-0071,L313,-4.541416680273166,-1.7564337096779024
313_A110_B01-0072,L313,-3.8859405367651814,-1.6024213769557338
313_A110_B01-0073,L313,-2.487661236611859,-2.3682382236716086
313_A110_B01-0074,L313,-3.333430276472211,-1.6464317419949621
313_A110_B01-0076,L313,-4.5472646670063295,-1.1996066614075258
313_A110_B01-0077,L313,-2.8987701348720485,-1.9548931442539998
313_A110_B01-0078,L313,-4.4968810490372695,-1.397951603917737
313_A110_B01-0079,L313,-2.7530925422120753,-2.085512020533249
313_A110_B01-0080,L313,-2.699529149167406,-2.3126381018305495
313_A110_B01-0081,L313,-3.206948029883996,-1.643479581321983
313_A110_B01-0084,L313,-3.978834733741171,-1.9835701781644832
313_A110_B01-0085,L313,-3.530543948415319,-1.472396235355988
313_A110_B01-0086,L313,-4.641711258191937,-1.4364729031410304
313_A110_B01-0087,L313,-4.32354829761935,-1.6528593317798088
313_A110_B01-0088,L313,-4.3175803587839665,-1.1740258093958764
313_A110_B01-0089,L313,-4.1656854119204825,-1.627907591455735
313_A110_B01-0090,L313,-3.5388769729637173,-0.9721668974012547
313_A110_B01-0091,L313,-3.615249709434281,-1.3513771162778494
313_A110_B01-0092,L313,-2.4654048361794683,-1.8986605072681726
313_A110_B01-0093,L313,-2.468561384476778,-1.8305805635016323
313_A110_B01-0094,L313,-3.4592473780332513,-1.7481576546075326
313_A110_B01-0096,L313,-3.0324778484782424,-1.3704944798683947
313_A110_B01-0098,L313,-2.859986135500487,-1.1656934112301889
313_A110_B01-0099,L313,-1.9815309978224753,-1.7531612275108812
313_A110_B01-0100,L313,-3.6671152821681403,-1.925827858829005
313_A110_B01-0101,L313,-2.2216735709528943,-1.5325285171313898
313_A110_B01-0103,L313,-2.9711213471979585,-1.1956851856089643
313_A110_B01-0104,L313,-3.1785786559765437,-1.2372112929344834
313_A110_B01-0105,L313,-3.3739194866109288,-1.2531665076397704
313_A110_B01-0106,L313,-2.917063788691185,-1.343988602962888
313_A110_B01-0107,L313,-4.061589999930537,-1.739005697152353
313_A110_B01-0108,L313,-3.867177886299497,-1.4269978737893172
313_A110_B01-0109,L313,-4.135102665823586,-1.3044533913171477
313_A110_B01-0110,L313,-3.7230332450317984,-1.2865184532893992
313_A110_B01-0111,L313,-3.981644129989688,-1.988615265480953
313_A110_B01-0112,L313,-3.414259417859841,-1.9996238905238577
313_A110_B01-0114,L313,-3.270833371659767,-1.8260308235985114
313_A110_B01-0115,L313,-4.348968673366443,-1.4537570132251025
313_A110_B01-0116,L313,-2.9697821366133197,-2.1416569626546407
313_A110_B01-0117,L313,-4.745118418194336,-1.4561317965531106
313_A110_B01-0118,L313,-4.348231467835999,-1.0631747778741472
313_A110_B01-0119,L313,-2.506635833907967,-1.177595035303454
313_A110_B01-0121,L313,-4.052644658871651,-1.4223233371185269
313_A110_B01-0122,L313,-4.629469399237583,-1.8178799348124017
313_A110_B01-0123,L313,-4.331585844577646,-1.494126678821426
313_A110_B01-0124,L313,-4.1369496887563635,-1.0221952828358989
313_A110_B01-0125,L313,-3.3751091808437588,-1.6947217490615185
313_A110_B01-0126,L313,-4.496613599443169,-1.4040174072710565
313_A110_B01-0127,L313,-4.070633294792805,-0.8182764348395266
313_A110_B01-0128,L313,-3.565592862581672,-1.2358027028297842
313_A110_B01-0129,L313,-3.0933157601046775,-1.8590948617213554
313_A110_B01-0131,L313,-4.484806737338024,-1.6245394048823463
313_A110_B01-0132,L313,-1.1832536322841847,-1.4158188574304114
313_A110_B01-0133,L313,-3.91807051407102,-2.399684385586909
313_A110_B01-0134,L313,-4.595799863367601,-1.0037117225929502
313_A110_B01-0135,L313,-4.44733002067689,-1.2674450790531273
313_A110_B01-0136,L313,-4.194376172635546,-1.149431893099793
313_A110_B01-0137,L313,-3.755391486010052,-1.4542813854831007
313_A110_B01-0138,L313,-3.7698767198012324,-1.3678069963677602
313_A110_B01-0139,L313,-4.304827303683588,-1.5540220311480855
313_A110_B01-0140,L313,-2.5572682047708515,-1.3891229773556786
313_A110_B01-0141,L313,-2.4341469047725495,-1.494720188176673
313_A110_B01-0142,L313,-4.368124596320894,-1.0543890635565485
313_A110_B01-0143,L313,-3.843335566993892,-1.7906136146780611
313_A110_B01-0144,L313,-2.946171001069001,-1.2866681591357303
313_A110_B01-0145,L313,-4.467903967189533,-1.3592878172836587
313_A110_B01-0146,L313,-1.77260378740363,-2.1505384754867807
313_A110_B01-0147,L313,-4.821556669106697,-1.0763927632976504
313_A110_B01-0148,L313,-4.656064321674055,-1.1652251062267482
313_A110_B01-0149,L313,-3.6524080963522727,-2.1711328777665693
313_A110_B01-0150,L313,-4.289083203725178,-1.3128286428240885
313_A110_B01-0151,L313,-4.7405291105447604,-1.5886728629038658
313_A110_B01-0152,L313,-4.89120660694963,-1.6594732868537823
313_A110_B01-0153,L313,-3.3417611072217372,-1.3649345869455998
313_A110_B01-0154,L313,-3.7001609355972596,-1.7137963554756734
313_A110_B01-0155,L313,-4.274766174307006,-1.7871477873987873
313_A110_B01-0156,L313,-5.026501436247135,-1.001360419309219
313_A110_B01-0157,L313,-4.112919883020121,-1.9175911345285623
313_A110_B01-0158,L313,-4.00215456674102,-1.4817440001503859
313_A110_B01-0159,L313,-3.8282232371565965,-1.4262947110035513
313_A110_B01-0160,L313,-3.585673957266509,-1.6920409740903486
313_A110_B01-0161,L313,-4.3661948571986535,-1.3647449448442834
313_A110_B01-0162,L313,-2.9783236820069825,-1.4216419436627326
313_A110_B01-0163,L313,-4.130406854547147,-1.945398892473185
313_A110_B01-0164,L313,-4.331139335565476,-1.2575879235390313
313_A110_B01-0166,L313,-4.112127548325193,-1.3928657717571737
313_A110_B01-0167,L313,-4.656612889438402,-1.7578895506974037
313_A110_B01-0168,L313,-4.968010498419451,-1.0921114193694363
313_A110_B01-0169,L313,-4.806470381668457,-0.7218830387125862
313_A110_B01-0170,L313,-5.005073074518879,-0.7509754747005459
313_A110_B01-0173,L313,-1.673904238929713,-1.5458770389990673
313_A110_B01-0174,L313,-2.119656619011115,-1.6447544258546543
313_A110_B01-0175,L313,-0.4982526741702443,-1.675819814242559
313_A110_B01-0176,L313,-2.0108640056992098,-1.8991160934262732
313_A110_B01-0177,L313,-0.5987942487615836,-1.565492713845977
313_A110_B01-0178,L313,-3.4916066542084563,-1.4680507160184884
313_A110_B01-0179,L313,-2.673311294835315,-1.3144293837684409
313_A110_B01-0180,L313,-3.862650763589151,-1.47775208858348
313_A110_B01-0181,L313,-1.7380454448859828,-1.41745165670461
313_A110_B01-0182,L313,-4.097420578638755,-1.6186953361926568
313_A110_B01-0184,L313,-3.518773139522979,-1.3771421756343007
313_A110_B01-0185,L313,-2.567688067463776,-1.607663755143759
313_A110_B01-0186,L313,-2.807564845259202,-2.2470009953618137
313_A110_B01-0188,L313,-3.6953769665561347,-1.7523581640215895
313_A110_B01-0189,L313,-3.0364738367699986,-1.9285853196259715
313_A110_B01-0190,L313,-3.2155480511636014,-2.3458503055870668
313_A110_B01-0191,L313,-3.3664373133070495,-2.3728001048736784
313_A110_B01-0192,L313,-3.9927041720020604,-1.2415719785786945
313_A110_B01-0193,L313,-3.2047129258100027,-2.0704406452580937
313_A110_B01-0194,L313,-3.8237826194333353,-2.366882399533758
313_A110_B01-0196,L313,-3.244724055855543,-2.1142174672510827
313_A110_B01-0197,L313,-3.543409194973835,-1.7492244071114207
313_A110_B01-0198,L313,-0.8129204305810924,-2.256265005900611
313_A110_B01-0199,L313,-4.555397982345573,-1.7463911712946856
313_A110_B01-0200,L313,-3.459747614188013,-2.291338653015672
313_A110_B01-0201,L313,-3.3944417973244168,-1.7065608283793614
313_A110_B01-0202,L313,-1.385543904982397,-1.4943811760405
313_A110_B01-0204,L313,-3.416584185855992,-2.2487886739780123
313_A110_B01-0205,L313,-4.9373991150983025,-1.222015669741084
313_A110_B01-0206,L313,-5.093000865506291,-2.0289659356349286
313_A110_B01-0208,L313,-2.165124986147308,-2.199382703254609
313_A110_B01-0210,L313,-4.635674274942038,-1.669992766013186
313_A110_B01-0211,L313,-4.542714499905076,-1.362916616353231
313_A110_B01-0212,L313,-3.118616044338814,-1.6887232254784759
313_A110_B01-0213,L313,-4.453346082776021,-1.5166153137846345
313_A110_B01-0214,L313,-2.7375663585098327,-1.3440367632323322
313_A110_B01-0215,L313,-2.832144278628183,-1.4610740601605077
313_A110_B01-0217,L313,-4.056115908181063,-1.9129825270032343
313_A110_B01-0219,L313,-3.469974368235643,-1.8069474090112112
313_A110_B01-0220,L313,-3.6420319394796894,-1.961708693784645
313_A110_B01-0221,L313,-1.3862921036610478,-1.7300129341017834
313_A110_B01-0222,L313,-4.064717351953028,-1.5425927237444095
313_A110_B01-0224,L313,-2.3087059129210106,-1.4046627895260089
313_A110_B01-0225,L313,-4.3496271504328305,-2.2238741325905638
313_A110_B01-0226,L313,-3.852893197759336,-1.3282966754765135
313_A110_B01-0227,L313,-4.678501390334577,-0.5831725540875733
313_A110_B01-0228,L313,-4.59007606418192,-1.0037046111488175
313_A110_B01-0229,L313,-4.625033749683173,-1.1417244807253286
313_A110_B01-0231,L313,-3.054260198562948,-1.3581280141855294
313_A110_B01-0232,L313,-4.106042051694338,-2.0080538600886904
