component,explained,cumulative
1,0.6040586245457725,0.6040586245457725
2,0.12065015781715073,0.7247087823629232
3,0.10450552037454458,0.8292143027374679
4,0.06168248257094661,0.8908967853084145
5,0.045472815560696295,0.9363696008691108
6,0.03745169084580242,0.9738212917149133
7,0.01173172513147937,0.9855530168463926
8,0.006934863846827986,0.9924878806932206
9,0.004646510646357185,0.9971343913395778
10,0.0020963295092037604,0.9992307208487816
11,0.0005922628937088451,0.9998229837424905
12,0.00017701625750976368,1.0000000000000002
