trait,error_correlation,opposite_sign_fraction,n
AF,0.9555487257876872,0.1337317123428807,4853
F6,0.9779318927113795,0.09025345147331547,4853
FW,0.9774079108754629,0.07433409043981004,4843
LS,0.9618542451914709,0.1065320420358541,4853
LW,0.9797692948648457,0.07459303523593654,4853
MFF,0.9484484409766015,0.12631362044096436,4853
PFD,0.978176038516286,0.0754172676694828,4853
PRW,0.9503912248378814,0.13208324747578817,4853
RD,0.9461872343110644,0.11683494745518236,4853
SRF,0.9641722614418019,0.09334432309911395,4853
SSC,0.9258184980199793,0.13462729712987817,4843
pH,0.9814744951547162,0.05347924839975222,4843
