trait,domain,n,r2,rmse_source,mae_source,rpiq,mae_display,mae_unit,mae_label,grade_accuracy,extreme_swap,no_extreme_swap
FW,Conventional quality,4843,0.8274568875155444,12.16515743624244,9.0420159396338,3.917746256041974,9.0420159396338,g,9.04 g,0.8028081767499484,0.00020648358455502787,0.999793516415445
SSC,Conventional quality,4843,0.6288277712376654,1.5761790361608938,1.1808284944556744,1.903337077307609,1.1808284944556744,percentage points,1.18 pp,0.6417509807970266,0.031591988436919266,0.9684080115630808
pH,Conventional quality,4843,0.5436478807102778,0.36121948404371385,0.2876307179893157,2.3808239532724778,0.2876307179893157,pH units,0.288 pH,0.6132562461284328,0.030353086929589098,0.969646913070411
SRF,Mechanical texture,4853,0.6807526823493627,163.48841317306588,126.10296777319225,2.4053544416011863,1.2366476689129757,N,1.24 N,0.6641252833298991,0.019987636513496807,0.9800123634865032
RD,Mechanical texture,4853,0.6419324557951454,0.49707189113567396,0.3732058557251714,1.9142100307182475,0.3732058557251714,APU,0.373 APU,0.6179682670513085,0.01813311353801772,0.9818668864619823
PFD,Mechanical texture,4853,0.644663036053281,158.6578469929512,121.40110208401413,2.367294534624415,1.1905381177521972,N,1.19 N,0.6628889346795797,0.018751287863177417,0.9812487121368226
MFF,Mechanical texture,4853,0.5804814926944271,38.92281953082825,28.659381298876493,2.248704100685884,0.2810525216146272,N,0.28 N,0.6863795590356481,0.019987636513496807,0.9800123634865032
F6,Mechanical texture,4853,0.5017140059107801,45.633245130781795,30.875154610980005,1.9763706991091257,0.30278183496576705,N,0.30 N,0.6744281887492273,0.02184215948897589,0.9781578405110241
LS,Mechanical texture,4853,0.7188167007324616,70.50224977963614,52.30294719959388,2.714820816335219,0.5129166971548973,N APU^-1,0.513 N/APU,0.6985369874304553,0.01607253245415207,0.9839274675458479
LW,Mechanical texture,4853,0.5470772088537507,534.9446007908733,408.01357146417524,1.983077026009534,4.001246290599155,N APU,4.00 N·APU,0.6103441170410056,0.03090871625798475,0.9690912837420153
PRW,Mechanical texture,4853,0.5832637561767886,413.5152471591815,295.323548383356,2.0450022335328093,2.8961346757536384,N APU,2.90 N·APU,0.6956521739130435,0.017102822996084895,0.9828971770039151
AF,Mechanical texture,4853,0.5609887715855021,30.10587966422329,21.262536044222767,1.9136266433199254,0.2085142490980772,N,0.21 N,0.6647434576550587,0.022872450030908716,0.9771275499690912
