trait,candidate,strongest_baseline,selection_rule,family_status,n_fruits,n_cultivars,candidate_rmse,strongest_baseline_rmse,relative_rmse_improvement_pct,bootstrap_ci95_low_pct,bootstrap_ci95_high_pct,bootstrap_probability_better,p_raw_one_sided,p_bh_fdr,p_holm,simultaneous_ci95_low_pct,simultaneous_ci95_high_pct,supported_raw_0_05,supported_bh_fdr_0_05,supported_holm_0_05,supported_simultaneous_0_05,simultaneous_critical_value
FW,PlumSPECTRA,Cultivar-aware PLSR,"lowest pooled OOF RMSE among global PLSR, cultivar-aware PLSR and no-neural B50; both individual PlumSPECTRA branches excluded",post-hoc branch-excluded 12-contrast sensitivity,4843,15,12.165157436242442,12.392496893681722,1.8344927530721296,1.1315669955112013,2.7900969346585627,1.0,9.99999000001e-07,1.3333320000013335e-06,1.1999988000012002e-05,0.5814860563710798,3.0874994497731794,True,True,True,True,2.9553780555725098
SSC,PlumSPECTRA,No-neural B50,"lowest pooled OOF RMSE among global PLSR, cultivar-aware PLSR and no-neural B50; both individual PlumSPECTRA branches excluded",post-hoc branch-excluded 12-contrast sensitivity,4843,15,1.5761790361608936,1.5934876479789826,1.0862093496640177,0.5923616636090436,1.6780354018489052,1.0,9.99999000001e-07,1.3333320000013335e-06,1.1999988000012002e-05,0.2654975581486674,1.906921141179368,True,True,True,True,2.9553780555725098
pH,PlumSPECTRA,No-neural B50,"lowest pooled OOF RMSE among global PLSR, cultivar-aware PLSR and no-neural B50; both individual PlumSPECTRA branches excluded",post-hoc branch-excluded 12-contrast sensitivity,4843,15,0.36121948404371385,0.3643599909655801,0.8619241957778265,0.3749320326425852,1.2876072674842443,0.999725,0.000275999724000276,0.000275999724000276,0.000275999724000276,0.1746279840583136,1.5492204074973395,True,True,True,True,2.9553780555725098
SRF,PlumSPECTRA,No-neural B50,"lowest pooled OOF RMSE among global PLSR, cultivar-aware PLSR and no-neural B50; both individual PlumSPECTRA branches excluded",post-hoc branch-excluded 12-contrast sensitivity,4853,15,163.48841317306588,167.82243549072888,2.582504719938012,1.7305125171661444,3.695749936983317,1.0,9.99999000001e-07,1.3333320000013335e-06,1.1999988000012002e-05,1.0686931316506585,4.096316308225365,True,True,True,True,2.9553780555725098
RD,PlumSPECTRA,No-neural B50,"lowest pooled OOF RMSE among global PLSR, cultivar-aware PLSR and no-neural B50; both individual PlumSPECTRA branches excluded",post-hoc branch-excluded 12-contrast sensitivity,4853,15,0.497071891135674,0.5076853989605505,2.0905678687247886,1.092358358894675,3.3861950040997812,0.999983,1.7999982000018e-05,1.9636344000019635e-05,3.5999964000036e-05,0.3476807294044151,3.833455008045162,True,True,True,True,2.9553780555725098
PFD,PlumSPECTRA,No-neural B50,"lowest pooled OOF RMSE among global PLSR, cultivar-aware PLSR and no-neural B50; both individual PlumSPECTRA branches excluded",post-hoc branch-excluded 12-contrast sensitivity,4853,15,158.6578469929512,161.1190285278489,1.5275548502157903,0.9132304690205236,2.2913488630946306,1.0,9.99999000001e-07,1.3333320000013335e-06,1.1999988000012002e-05,0.48673091375338795,2.568378786678193,True,True,True,True,2.9553780555725098
MFF,PlumSPECTRA,No-neural B50,"lowest pooled OOF RMSE among global PLSR, cultivar-aware PLSR and no-neural B50; both individual PlumSPECTRA branches excluded",post-hoc branch-excluded 12-contrast sensitivity,4853,15,38.92281953082824,39.52787645602635,1.5307094118026168,0.6986599321006627,2.094652355710936,1.0,9.99999000001e-07,1.3333320000013335e-06,1.1999988000012002e-05,0.47842827052148884,2.5829905530837447,True,True,True,True,2.9553780555725098
F6,PlumSPECTRA,No-neural B50,"lowest pooled OOF RMSE among global PLSR, cultivar-aware PLSR and no-neural B50; both individual PlumSPECTRA branches excluded",post-hoc branch-excluded 12-contrast sensitivity,4853,15,45.63324513078179,46.29738877217096,1.4345164144298048,0.8602677315360469,1.97788117181574,1.0,9.99999000001e-07,1.3333320000013335e-06,1.1999988000012002e-05,0.5783357465526076,2.290697082307002,True,True,True,True,2.9553780555725098
LS,PlumSPECTRA,No-neural B50,"lowest pooled OOF RMSE among global PLSR, cultivar-aware PLSR and no-neural B50; both individual PlumSPECTRA branches excluded",post-hoc branch-excluded 12-contrast sensitivity,4853,15,70.50224977963614,73.44806514344039,4.010746039465047,2.403040239512262,5.475249869517941,1.0,9.99999000001e-07,1.3333320000013335e-06,1.1999988000012002e-05,1.6406855955868735,6.380806483343221,True,True,True,True,2.9553780555725098
LW,PlumSPECTRA,No-neural B50,"lowest pooled OOF RMSE among global PLSR, cultivar-aware PLSR and no-neural B50; both individual PlumSPECTRA branches excluded",post-hoc branch-excluded 12-contrast sensitivity,4853,15,534.9446007908733,546.3478754364378,2.0871820241737398,1.0217050356798987,3.0946598014919298,1.0,9.99999000001e-07,1.3333320000013335e-06,1.1999988000012002e-05,0.49290023153305373,3.681463816814426,True,True,True,True,2.9553780555725098
