target,trait,candidate,baseline,candidate_rmse,baseline_rmse,rmse_delta_baseline_minus_candidate,rmse_delta_ci_low,rmse_delta_ci_high,relative_rmse_improvement_pct,relative_improvement_ci_low,relative_improvement_ci_high,bootstrap_probability_candidate_better,cluster_bootstrap_iterations,clusters,claim_status
adhesive_force_g_mean,AF,plumspectra_corrected,cultivar_aware_pls2_equal_information,30.069921029302197,31.790388288907153,1.7204672596049555,0.7125836320927349,2.4502288740027525,5.411910178540635,2.7910894700274382,7.129114348359809,0.999355,200000,15,supported_outperformance
flesh_force_mean_g_mean,MFF,plumspectra_corrected,cultivar_aware_pls2_equal_information,38.884320286270686,40.26130719775171,1.3769869114810263,0.7812577830586604,1.8356551320207195,3.4201246986782396,2.135485522624632,4.498962535096819,1.0,200000,15,supported_outperformance
force_at_6_rawpos_g_mean,F6,plumspectra_corrected,cultivar_aware_pls2_equal_information,45.58783049556517,46.336882107392434,0.7490516118272623,0.3503824755153785,1.131357691590614,1.6165343410271427,0.8271209299104901,2.3586179218980203,1.0,200000,15,supported_outperformance
fruit_weight_g,FW,plumspectra_corrected,cultivar_aware_pls2_equal_information,12.16515743624244,13.681334784299867,1.5161773480574272,1.2741326398267603,1.8497456041519336,11.08208644815365,8.851586866873648,15.678707309357783,1.0,200000,15,supported_outperformance
loading_stiffness_g_per_rawpos_mean,LS,plumspectra_corrected,cultivar_aware_pls2_equal_information,70.50608036505633,73.64194844131093,3.135868076254596,1.9221889712363145,4.100068104949427,4.258263316802013,2.6781542151245024,6.231787017144939,0.999985,200000,15,supported_outperformance
loading_work_g_rawpos_mean,LW,plumspectra_corrected,cultivar_aware_pls2_equal_information,534.2888591689393,547.9394494322524,13.65059026331312,3.2398213956128585,21.975668065180713,2.491258893196535,0.6537755071976009,3.8893735153927276,0.996735,200000,15,supported_outperformance
ph,pH,plumspectra_corrected,cultivar_aware_pls2_equal_information,0.36121948404371385,0.36879712080797455,0.007577636764260709,0.004033566769431958,0.011034433487532346,2.0546897838191747,1.0972630647595591,3.0200008008876478,1.0,200000,15,supported_outperformance
post_break_work_g_rawpos_mean,PRW,plumspectra_corrected,cultivar_aware_pls2_equal_information,412.695476409485,428.1925922405199,15.497115831034876,3.942360326511991,23.563511668587452,3.6191928846657895,1.2399807510295737,4.870863623160095,0.99414,200000,15,supported_outperformance
skin_break_displacement_raw_mean,RD,plumspectra_corrected,cultivar_aware_pls2_equal_information,0.49742718908550687,0.5369192826436581,0.0394920935581512,-0.004686663177380175,0.08145128637723811,7.355312955739246,-1.0803386827239096,12.688968887492168,0.950685,200000,15,statistical_parity
skin_break_drop_g_mean,PFD,plumspectra_corrected,cultivar_aware_pls2_equal_information,158.73597142613673,162.81419493699582,4.07822351085909,0.5917896874039024,7.25226773928901,2.5048328939852205,0.36952343817130257,4.398677949932345,0.98993,200000,15,supported_outperformance
skin_break_force_g_mean,SRF,plumspectra_corrected,cultivar_aware_pls2_equal_information,163.55923183857468,169.49879998964792,5.939568151073246,1.582630831258762,9.617493202457151,3.504194809306027,0.9590947701677988,5.709388900547486,0.997985,200000,15,supported_outperformance
soluble_solids_pct,SSC,plumspectra_corrected,cultivar_aware_pls2_equal_information,1.5761790361608938,1.9883449383322727,0.41216590217137883,0.22136001736639171,0.5703899358419277,20.729094546194972,12.923625922271857,26.06438127971429,0.99997,200000,15,supported_outperformance
