model,trait,adapter,minimum_shots_strict,minimum_shots_directional,strict_definition
Batch-mean null (no spectra),AF,batch_mean_null,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Batch-mean null (no spectra),F6,batch_mean_null,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Batch-mean null (no spectra),LS,batch_mean_null,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Batch-mean null (no spectra),LW,batch_mean_null,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Batch-mean null (no spectra),MFF,batch_mean_null,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Batch-mean null (no spectra),PFD,batch_mean_null,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Batch-mean null (no spectra),PRW,batch_mean_null,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Batch-mean null (no spectra),RD,batch_mean_null,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Batch-mean null (no spectra),SRF,batch_mean_null,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,AF,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,AF,shrunken_affine,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,F6,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,F6,shrunken_affine,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,LS,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,LS,shrunken_affine,,80.0,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,LW,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,LW,shrunken_affine,,40.0,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,MFF,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,MFF,shrunken_affine,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,PFD,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,PFD,shrunken_affine,,80.0,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,PRW,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,PRW,shrunken_affine,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,RD,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,RD,shrunken_affine,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,SRF,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Cultivar-aware PLSR,SRF,shrunken_affine,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,AF,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,AF,shrunken_affine,,80.0,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,F6,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,F6,shrunken_affine,,40.0,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,LS,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,LS,shrunken_affine,,80.0,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,LW,intercept,,80.0,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,LW,shrunken_affine,80.0,40.0,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,MFF,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,MFF,shrunken_affine,,80.0,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,PFD,intercept,,,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,PFD,shrunken_affine,,80.0,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,PRW,intercept,,80.0,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
Deep-kernel ensemble,PRW,shrunken_affine,,40.0,batch-macro R2 2.5th percentile > 0 and RMSE-gain 2.5th percentile > 0
