model,trait,shots,adapter,aggregation,repeats,n_evaluation_mean,rmse_mean,rmse_sd,rmse_ci025,rmse_ci975,r2_mean,r2_sd,r2_ci025,r2_ci975,ccc_mean,ccc_ci025,ccc_ci975,rmse_gain_pct_mean,rmse_gain_pct_ci025,rmse_gain_pct_ci975
Batch-mean null (no spectra),AF,5,batch_mean_null,batch_macro,500,1231.0,38.102519942823136,2.0003932497678205,35.48687540878194,42.95514410746945,-0.2143667921873764,0.16080281461515647,-0.6096819417663614,-0.03516208812138695,-1.255783461266798e-33,-2.7512855948702856e-31,2.388996503944258e-31,0.0,0.0,0.0
Batch-mean null (no spectra),AF,5,batch_mean_null,pooled,500,1231.0,41.20339436208597,2.9551947407085435,38.113970133027244,48.22004601351352,0.02883067991378223,0.15997169009919188,-0.35117234480726056,0.17778417187465,0.27934946214956946,0.05726563913559678,0.40246599620259216,0.0,0.0,0.0
Batch-mean null (no spectra),AF,10,batch_mean_null,batch_macro,500,1206.0,36.55560665132571,1.0271354847650096,35.21773884898729,39.17391913653796,-0.10282076585681661,0.07125100455898377,-0.2932577208654084,-0.017044531998914966,-3.5233348758990964e-33,-2.691994195075465e-31,2.5682023768577407e-31,0.0,0.0,0.0
Batch-mean null (no spectra),AF,10,batch_mean_null,pooled,500,1206.0,39.450008016783364,1.3201562563740745,37.85975777650768,43.21410341411174,0.11530144357734266,0.06365801055283933,-0.06354951644100028,0.18520323553005857,0.29891591908880427,0.16128320079187752,0.39036981349743677,0.0,0.0,0.0
Batch-mean null (no spectra),AF,20,batch_mean_null,batch_macro,500,1156.0,35.843726713159135,0.5882492646429057,34.93736608977692,37.10443152911501,-0.058202306514072544,0.039110735772446524,-0.15403177695401993,-0.00900453798273142,-8.590364563768958e-33,-3.1079269717775624e-31,3.3107079607474046e-31,0.0,0.0,0.0
Batch-mean null (no spectra),AF,20,batch_mean_null,pooled,500,1156.0,38.72199293455809,0.7486088982551026,37.66113819774492,40.66606845631509,0.15022140084152802,0.03460057633878868,0.05267874957094439,0.1905239801607133,0.31014071246288144,0.20251686863091373,0.3801380641198515,0.0,0.0,0.0
Batch-mean null (no spectra),AF,40,batch_mean_null,batch_macro,500,1056.0,35.396351126243125,0.4662509123154133,34.51819376007427,36.340986067788414,-0.030775227665083293,0.020090766619301214,-0.07979763551819227,-0.004352873981461503,2.4999952230100552e-33,-3.6508466503987238e-31,4.206389352238407e-31,0.0,0.0,0.0
Batch-mean null (no spectra),AF,40,batch_mean_null,pooled,500,1056.0,38.38628949923694,0.5324202777839995,37.413533371900904,39.37497003576777,0.17183214164953176,0.019078555541328673,0.12174874078360155,0.1952290774858368,0.3143755566210102,0.25565222273302524,0.36102943044256636,0.0,0.0,0.0
Batch-mean null (no spectra),AF,80,batch_mean_null,batch_macro,500,856.0,35.16794183577287,0.7123361312984622,33.8285924434645,36.66340266482755,-0.019185171091444082,0.012496310486561493,-0.051504202413200965,-0.0031732307380474955,1.1461808320867997e-32,-5.13406988526154e-31,5.718856774987235e-31,0.0,0.0,0.0
Batch-mean null (no spectra),AF,80,batch_mean_null,pooled,500,856.0,38.55223669873372,0.779684112418675,37.09168960255939,40.187257470613865,0.1791517297423152,0.014750006737102615,0.14515922932609826,0.20347154226461756,0.31371107758380334,0.276209554709981,0.34239256397824264,0.0,0.0,0.0
Batch-mean null (no spectra),F6,5,batch_mean_null,batch_macro,500,1231.0,48.76351860954534,2.32405098854967,45.35591054990748,54.410267376987235,-0.21514594018964714,0.13275713295339706,-0.5650193752866093,-0.03089131498249556,-2.6041192978290635e-34,-2.8821777817930047e-31,3.0538423134890695e-31,0.0,0.0,0.0
Batch-mean null (no spectra),F6,5,batch_mean_null,pooled,500,1231.0,51.79825885151362,2.9301104907901374,48.09929067746932,59.12628347719778,-0.03092034609569869,0.12494155142177822,-0.35508769865514017,0.12120531247677227,0.2081218591839413,0.03463119511917903,0.33098733625087323,0.0,0.0,0.0
Batch-mean null (no spectra),F6,10,batch_mean_null,batch_macro,500,1206.0,46.778960030213625,1.3223643298608796,44.966226760889796,50.01514220478691,-0.10673476561296162,0.06925277668076342,-0.2816174930569655,-0.019794411143875108,2.6832681862059527e-33,-2.3568266004415323e-31,2.3391915767947378e-31,0.0,0.0,0.0
Batch-mean null (no spectra),F6,10,batch_mean_null,pooled,500,1206.0,49.65231708231651,1.642200719506884,47.695393109790814,53.936842900760496,0.05650384713324107,0.0662746781755939,-0.10392295850109495,0.1309391474918628,0.2268946980509917,0.09228891077923443,0.3137928111378714,0.0,0.0,0.0
Batch-mean null (no spectra),F6,20,batch_mean_null,batch_macro,500,1156.0,45.734859061662675,0.7194043863443419,44.65362113607453,47.41791822232035,-0.05564452299096589,0.0330896809014009,-0.1329250180442058,-0.009976480940260475,1.3332768129737446e-33,-2.4245987097112612e-31,2.9753386354268805e-31,0.0,0.0,0.0
Batch-mean null (no spectra),F6,20,batch_mean_null,pooled,500,1156.0,48.58292209586981,0.8802857674779544,47.41148742245731,50.54076230604521,0.09769384261433497,0.03463677269264139,0.01452437500206358,0.1377022133039038,0.23698960250185797,0.14512792999484264,0.30026678364304177,0.0,0.0,0.0
Batch-mean null (no spectra),F6,40,batch_mean_null,batch_macro,500,1056.0,45.17367049578275,0.5685410627620539,44.1748058291485,46.33468388520432,-0.030296200436883247,0.019850750085882968,-0.08040828121863945,-0.0039264937021111605,3.86858146927551e-33,-2.865557755285208e-31,3.1141917927366444e-31,0.0,0.0,0.0
Batch-mean null (no spectra),F6,40,batch_mean_null,pooled,500,1056.0,48.1378393686066,0.6157743364277597,47.118994748614625,49.48632171332027,0.11766031700086615,0.020253016058864887,0.06199269258871635,0.1415910841579355,0.24138260351786264,0.18072788863883715,0.2843400828507599,0.0,0.0,0.0
Batch-mean null (no spectra),F6,80,batch_mean_null,batch_macro,500,856.0,44.94312854596231,0.72231954101091,43.536560691722734,46.35116352404191,-0.019687137360005432,0.012968105301008982,-0.0504639846330321,-0.0035293555816498278,-2.407092606109035e-33,-4.730534028189464e-31,4.678288820734568e-31,0.0,0.0,0.0
Batch-mean null (no spectra),F6,80,batch_mean_null,pooled,500,856.0,48.320576657612854,0.7739087542466314,46.80703991857889,49.885651669144536,0.12406591214269544,0.014430219804795768,0.0924020236121772,0.1449908123441174,0.23462899497856615,0.2027993863029401,0.258962549205385,0.0,0.0,0.0
Batch-mean null (no spectra),LS,5,batch_mean_null,batch_macro,500,1231.0,87.80136905921043,4.554211075945265,81.89173606733824,98.93104757834261,-0.21200875290436197,0.15135153180093247,-0.6073918637582438,-0.03470100723493687,-1.6262127078963826e-33,-5.734570042453704e-31,5.887446367859287e-31,0.0,0.0,0.0
