target,trait,outer_fold,global_pls_preprocessing,global_pls_components,global_pls_cv_rmse,global_pls_component_lower_boundary,global_pls_component_upper_boundary,global_pls_component_boundary,domain_pls_preprocessing,domain_pls_components,domain_pls_cv_rmse,domain_pls_component_lower_boundary,domain_pls_component_upper_boundary,domain_pls_component_boundary,svr_preprocessing,svr_C,svr_gamma_factor,svr_epsilon_z,svr_cv_rmse,svr_C_boundary,svr_gamma_boundary,svr_epsilon_boundary,domain_svr_degradation_vs_pls_pct,kernel_weight,selected_variant,selection_uses_outer_test_labels
adhesive_force_g_mean,AF,1,raw,12,35.70530574821195,False,False,False,sg1,3,31.544740007148363,False,False,False,sg1,0.3,0.25,0.8,30.633764621706234,False,False,False,-2.887883638399591,0.5,deep_kernel,False
adhesive_force_g_mean,AF,2,raw,12,35.848091305651145,False,False,False,sg1,3,31.80684787452172,False,False,False,sg1,0.3,0.25,0.8,30.813800197301287,False,False,False,-3.1221191145316074,0.5,deep_kernel,False
adhesive_force_g_mean,AF,3,raw,12,35.716296290434435,False,False,False,sg1,3,31.677172110629368,False,False,False,sg1,0.3,0.25,1.5,30.690071412843213,False,False,False,-3.1161263206791467,0.5,deep_kernel,False
adhesive_force_g_mean,AF,4,raw,12,35.57130878252122,False,False,False,sg1,3,31.294021328514717,False,False,False,sg1,0.3,0.25,1.5,30.44704421750647,False,False,False,-2.706514136093119,0.5,deep_kernel,False
adhesive_force_g_mean,AF,5,raw,12,36.064983219305255,False,False,False,sg1,3,31.861662140474458,False,False,False,sg1,0.3,0.25,0.8,30.86707571728856,False,False,False,-3.121577332660419,0.5,deep_kernel,False
force_at_6_rawpos_g_mean,F6,1,sg1,12,56.02556475885618,False,False,False,snv,1,47.61044361692879,True,False,True,sg1,0.01,0.005,0.8,46.95331380473136,False,False,False,-1.3802219897060097,0.5,deep_kernel,False
force_at_6_rawpos_g_mean,F6,2,sg1,12,54.85409193351076,False,False,False,snv,1,46.54500751352852,True,False,True,sg1,0.003,0.005,0.8,45.99939437695622,False,False,False,-1.1722269814087305,0.5,deep_kernel,False
force_at_6_rawpos_g_mean,F6,3,sg1,12,55.56506697806434,False,False,False,snv,1,47.41508969837805,True,False,True,sg1,0.03,0.005,0.8,46.3557898361727,False,False,False,-2.234098614900615,0.5,deep_kernel,False
force_at_6_rawpos_g_mean,F6,4,sg1,12,54.51746081556214,False,False,False,snv,1,46.36535431168485,True,False,True,sg1,0.01,0.005,0.8,45.680183450941996,False,False,False,-1.477764746791066,0.5,deep_kernel,False
force_at_6_rawpos_g_mean,F6,5,sg1,12,54.93287625685797,False,False,False,snv,1,46.99425112511925,True,False,True,sg1,0.01,0.005,0.8,46.40572620293912,False,False,False,-1.2523338665685224,0.5,deep_kernel,False
loading_stiffness_g_per_rawpos_mean,LS,1,raw,12,99.22836141405305,False,False,False,sg1,1,74.98192080315677,True,False,True,sg1,0.3,0.02,1.5,72.60068131579357,False,False,False,-3.175751516974945,0.5,deep_kernel,False
loading_stiffness_g_per_rawpos_mean,LS,2,raw,12,99.81647971314456,False,False,False,sg1,1,74.60984100605785,True,False,True,sg1,0.3,0.005,0.8,72.92877964214532,False,False,False,-2.2531362367814722,0.5,deep_kernel,False
loading_stiffness_g_per_rawpos_mean,LS,3,raw,12,99.72228316188536,False,False,False,sg1,1,75.26986262003082,True,False,True,sg1,0.3,0.005,0.8,73.42181740774967,False,False,False,-2.4552259668790044,0.5,deep_kernel,False
loading_stiffness_g_per_rawpos_mean,LS,4,raw,12,99.95177357391852,False,False,False,sg1,1,75.00943162904069,True,False,True,sg1,0.3,0.005,1.5,73.05095836268427,False,False,False,-2.610969345884473,0.5,deep_kernel,False
loading_stiffness_g_per_rawpos_mean,LS,5,raw,12,99.26678570659313,False,False,False,sg1,1,75.22620085132596,True,False,True,sg1,0.3,0.01,1.5,72.94960080432776,False,False,False,-3.0263392557834723,0.5,deep_kernel,False
loading_work_g_rawpos_mean,LW,1,sg1,12,667.2852218159435,False,False,False,sg1,1,553.9066060428281,True,False,True,snv,0.3,0.005,0.6,544.0566564698795,False,False,False,-1.778269019630907,0.5,deep_kernel,False
loading_work_g_rawpos_mean,LW,2,raw,12,662.813894785708,False,False,False,sg1,1,556.1021307884724,True,False,True,snv,0.3,0.005,0.6,546.7246358180248,False,False,False,-1.6862900627896749,0.5,deep_kernel,False
loading_work_g_rawpos_mean,LW,3,raw,12,666.1024562383961,False,False,False,sg1,1,554.0628337893319,True,False,True,snv,0.3,0.005,0.8,542.8960374945945,False,False,False,-2.0154386134088376,0.5,deep_kernel,False
loading_work_g_rawpos_mean,LW,4,raw,12,663.3747025037854,False,False,False,sg1,1,554.4794349248901,True,False,True,snv,0.3,0.005,1.5,543.4140599674541,False,False,False,-1.995633067786351,0.5,deep_kernel,False
loading_work_g_rawpos_mean,LW,5,raw,12,666.0310178005965,False,False,False,sg1,1,556.6151944299081,True,False,True,snv,0.3,0.005,0.6,544.8944146120306,False,False,False,-2.105724014573862,0.5,deep_kernel,False
flesh_force_mean_g_mean,MFF,1,sg1,12,48.453052972269035,False,False,False,snv,1,40.418923778646075,True,False,True,raw,10.0,0.25,1.5,39.76693005082423,False,False,False,-1.6130902727457208,0.5,deep_kernel,False
flesh_force_mean_g_mean,MFF,2,sg1,12,48.52829893588737,False,False,False,snv,1,40.48957848212132,True,False,True,sg1,0.3,0.02,1.5,40.125293351004125,False,False,False,-0.899700971888473,0.5,deep_kernel,False
flesh_force_mean_g_mean,MFF,3,sg1,12,48.650696099075496,False,False,False,snv,1,40.381868294461135,True,False,True,raw,30.0,0.25,1.5,39.73579758184674,False,False,False,-1.5999029760171202,0.5,deep_kernel,False
flesh_force_mean_g_mean,MFF,4,sg1,12,48.44310688121664,False,False,False,snv,1,40.370963650811554,True,False,True,raw,30.0,0.25,0.8,39.764825402313186,False,False,False,-1.501421303046313,0.5,deep_kernel,False
flesh_force_mean_g_mean,MFF,5,sg1,12,48.61136725137167,False,False,False,snv,1,40.63239279004404,True,False,True,sg1,0.3,0.02,1.5,40.28068784348618,False,False,False,-0.8655777383704488,0.5,deep_kernel,False
skin_break_drop_g_mean,PFD,1,raw,12,221.43798266114072,False,False,False,sg1,1,164.76647836207042,True,False,True,sg1,0.3,0.01,0.8,161.27951174413906,False,False,False,-2.1163082761706087,0.5,deep_kernel,False
skin_break_drop_g_mean,PFD,2,raw,12,219.75564925474285,False,False,False,sg1,1,163.42561304785602,True,False,True,sg1,0.3,0.01,0.8,160.6817008393388,False,False,False,-1.6789976536381257,0.5,deep_kernel,False
skin_break_drop_g_mean,PFD,3,raw,12,221.20150937788225,False,False,False,sg1,1,164.1221404843671,True,False,True,sg1,0.3,0.01,0.8,160.52772417231125,False,False,False,-2.1900861769458935,0.5,deep_kernel,False
skin_break_drop_g_mean,PFD,4,raw,12,221.24752558008583,False,False,False,sg1,1,165.0706511997735,True,False,True,sg1,0.3,0.01,0.8,161.1997466760144,False,False,False,-2.3449986388400457,0.5,deep_kernel,False
skin_break_drop_g_mean,PFD,5,raw,12,220.66504527984836,False,False,False,sg1,1,163.13843452804585,True,False,True,sg1,0.3,0.01,0.8,159.8445288044986,False,False,False,-2.0190862644210217,0.5,deep_kernel,False
post_break_work_g_rawpos_mean,PRW,1,raw,12,531.283493824474,False,False,False,snv_sg1,3,437.1754836348768,False,False,False,sg1,0.3,0.1,0.8,425.95108178161877,False,False,False,-2.5674820005763377,0.5,deep_kernel,False
post_break_work_g_rawpos_mean,PRW,2,raw,12,529.9701042104093,False,False,False,snv_sg1,3,440.52609262089715,False,False,False,sg1,0.3,0.1,1.5,427.4874498496369,False,False,False,-2.9597889863202442,0.5,deep_kernel,False
