trait,candidate,baseline,n_fruits,n_cultivars,candidate_rmse,baseline_rmse,relative_rmse_improvement_pct,bootstrap_ci95_low_pct,bootstrap_ci95_high_pct,bootstrap_probability_better,p_raw_one_sided,p_bh_fdr,p_holm,supported_bh_fdr_0_05,supported_holm_0_05,simultaneous_ci95_low_pct,simultaneous_ci95_high_pct,supported_simultaneous_0_05,simultaneous_critical_value,family_definition,p_bh_within_12_contrast_family,p_holm_within_12_contrast_family,simultaneous_ci95_low_within_12_contrast_family,simultaneous_ci95_high_within_12_contrast_family,simultaneous_critical_value_within_12_contrast_family
AF,PlumSPECTRA final,Global PLSR,4853,15,30.10587966422329,35.60645577316392,15.448255069201066,8.703750895939526,28.348912627813608,1.0,9.99999000001e-07,1.3333320000013335e-06,3.5999964000036005e-05,True,True,-2.2824025083135826,33.178912646715716,False,3.4639892578125,12 traits versus Global PLSR,9.99999000001e-07,1.1999988000012002e-05,0.7184758257318276,30.178034312670306,2.877716064453125
MFF,PlumSPECTRA final,Global PLSR,4853,15,38.92281953082824,48.39856383774376,19.578565055531318,11.480958095885113,32.12338703226195,1.0,9.99999000001e-07,1.3333320000013335e-06,3.5999964000036005e-05,True,True,1.2546934429824894,37.90243666808014,True,3.4639892578125,12 traits versus Global PLSR,9.99999000001e-07,1.1999988000012002e-05,4.3559717480362,34.80115836302643,2.877716064453125
F6,PlumSPECTRA final,Global PLSR,4853,15,45.63324513078179,55.071855493168016,17.138718639246033,11.052434200855922,27.071140911359596,1.0,9.99999000001e-07,1.3333320000013335e-06,3.5999964000036005e-05,True,True,2.8669939383182985,31.410443340173767,True,3.4639892578125,12 traits versus Global PLSR,9.99999000001e-07,1.1999988000012002e-05,5.28245452486615,28.994982753625916,2.877716064453125
FW,PlumSPECTRA final,Global PLSR,4843,15,12.165157436242442,25.0579579465025,51.4519201356533,39.066944242405405,65.63571794789664,1.0,9.99999000001e-07,1.3333320000013335e-06,3.5999964000036005e-05,True,True,27.88535557571678,75.01848469558982,True,3.4639892578125,12 traits versus Global PLSR,9.99999000001e-07,1.1999988000012002e-05,31.87394963089256,71.02989064041404,2.877716064453125
LS,PlumSPECTRA final,Global PLSR,4853,15,70.50224977963614,99.23139918734446,28.951672195480146,19.094857701832176,41.71351596824362,1.0,9.99999000001e-07,1.3333320000013335e-06,3.5999964000036005e-05,True,True,8.956345199630537,48.94699919132975,True,3.4639892578125,12 traits versus Global PLSR,9.99999000001e-07,1.1999988000012002e-05,12.340513824508466,45.56283056645182,2.877716064453125
LW,PlumSPECTRA final,Global PLSR,4853,15,534.9446007908733,662.7463892176457,19.28366423506871,10.443632534050112,32.070047375996026,1.0,9.99999000001e-07,1.3333320000013335e-06,3.5999964000036005e-05,True,True,-0.09123467545375163,38.658563145591174,False,3.4639892578125,12 traits versus Global PLSR,9.99999000001e-07,1.1999988000012002e-05,3.1879267777933187,35.3794016923441,2.877716064453125
pH,PlumSPECTRA final,Global PLSR,4843,15,0.3612194840437139,0.4458123623435135,18.9749960847021,14.033731078028062,25.51883537685588,1.0,9.99999000001e-07,1.3333320000013335e-06,3.5999964000036005e-05,True,True,8.784381384384716,29.16561078501948,True,3.4639892578125,12 traits versus Global PLSR,9.99999000001e-07,1.1999988000012002e-05,10.50912236644038,27.440869802963817,2.877716064453125
PRW,PlumSPECTRA final,Global PLSR,4853,15,413.5152471591815,528.1971292169376,21.71194724737981,12.932836424441916,36.391005541405335,1.0,9.99999000001e-07,1.3333320000013335e-06,3.5999964000036005e-05,True,True,0.8381755798993424,42.58571891486028,True,3.4639892578125,12 traits versus Global PLSR,9.99999000001e-07,1.1999988000012002e-05,4.371020123356374,39.05287437140325,2.877716064453125
RD,PlumSPECTRA final,Global PLSR,4853,15,0.497071891135674,0.5857826877578681,15.143977190883202,11.27313017473801,20.473722930373516,1.0,9.99999000001e-07,1.3333320000013335e-06,3.5999964000036005e-05,True,True,7.118372942836327,23.169581438930077,True,3.4639892578125,12 traits versus Global PLSR,9.99999000001e-07,1.1999988000012002e-05,8.476690318019433,21.81126406374697,2.877716064453125
PFD,PlumSPECTRA final,Global PLSR,4853,15,158.65784699295116,219.9356653679575,27.861701408221865,18.766654275753524,37.79513991685158,1.0,9.99999000001e-07,1.3333320000013335e-06,3.5999964000036005e-05,True,True,11.022725501849795,44.70067731459393,True,3.4639892578125,12 traits versus Global PLSR,9.99999000001e-07,1.1999988000012002e-05,13.872688690021182,41.850714126422545,2.877716064453125
