target,trait,cultivar_aware_pls,cultivar_mean_null,global_pls,nested_rbf_svr,no_neural_b50,plumspectra_corrected,plumspectra_fixed_gate_sensitivity,residual_cnn,plumspectra_centered_r2
adhesive_force_g_mean,AF,0.5199450094033651,0.5021914936014892,0.38591218689876083,0.5435664819526933,0.5444107241010259,0.5609887715855021,0.5576379247823839,0.5570232263840561,0.1180612983534639
flesh_force_mean_g_mean,MFF,0.5486651638682105,0.5503434256832214,0.3513543812600557,0.561005592585647,0.5673372497839936,0.5804814926944271,0.5759631271699044,0.5770616734860025,0.06275539921246409
force_at_6_rawpos_g_mean,F6,0.4737638821918123,0.4891359126498487,0.27426947510443234,0.488428953163037,0.4871044085854439,0.5017140059107801,0.508367841895363,0.5030319423759253,0.02054528013182577
fruit_weight_g,FW,0.8209477437821376,0.8163061194014027,0.26792847856800883,0.8192166956585346,0.8206313744520022,0.8274568875155444,0.8274568875155444,0.8316090940418003,0.05715912976879012
loading_stiffness_g_per_rawpos_mean,LS,0.6828202938811314,0.687637198226805,0.4429658761887574,0.6999848693236966,0.6948282769301362,0.7188167007324616,0.7240629012491155,0.7262216397958998,0.09651006924642869
loading_work_g_rawpos_mean,LW,0.5148637409216432,0.5280800504334826,0.30481355017894196,0.5327025352746686,0.527561724997887,0.5470772088537507,0.5548150984173108,0.5516487673498053,0.03749760765076504
ph,pH,0.5243013847511462,0.533923831934445,0.30487653294228345,0.5389376851254434,0.5356781714238128,0.5436478807102778,0.5436478807102778,0.5396843093249136,0.017573029414636565
post_break_work_g_rawpos_mean,PRW,0.5358530809547642,0.5475554906086592,0.32006046976482716,0.5630091554363914,0.5628002885668908,0.5832637561767886,0.5727689695947809,0.5816975078324871,0.07805060294853872
skin_break_displacement_raw_mean,RD,0.6063606406800237,0.5525861717933656,0.5027215804514463,0.6253993024508873,0.6264782511776676,0.6419324557951454,0.6393487606895418,0.6380124061930772,0.19974574361394348
skin_break_drop_g_mean,PFD,0.6220687316738054,0.63022908354056,0.31717628336742887,0.6376588187852983,0.6335531916351603,0.644663036053281,0.6451614319927216,0.6431980726468145,0.03676692980179164
skin_break_force_g_mean,SRF,0.643913669027209,0.6624274951447663,0.36844110581067013,0.6699812605614456,0.6636020514661944,0.6807526823493627,0.6793109828797521,0.6793860753510801,0.05289926563788838
soluble_solids_pct,SSC,0.6018342195204605,0.4019080922753122,0.5116786531958772,0.6067091069277288,0.6206310490826685,0.6288277712376654,0.6288277712376654,0.6222761305837705,0.37793304772251124
