target,trait,outer_fold,is_texture,internal_validation_gate,recorded_production_gate,legacy_fixed_gate,recorded_gate_overrode_internal,legacy_gate_differs_from_internal,crossfit_anchor_folds,domain_aware_anchor_selection,gate_selection_mode,validation_residual_target_mode,selected_epoch
adhesive_force_g_mean,AF,1,True,0.75,0.75,0.5,False,True,4,True,training_internal_validation,observed,11
adhesive_force_g_mean,AF,2,True,0.75,0.75,0.5,False,True,4,True,training_internal_validation,observed,15
adhesive_force_g_mean,AF,3,True,1.0,1.0,0.5,False,True,4,True,training_internal_validation,observed,34
adhesive_force_g_mean,AF,4,True,0.5,0.5,0.5,False,False,4,True,training_internal_validation,observed,20
adhesive_force_g_mean,AF,5,True,0.75,0.75,0.5,False,True,4,True,training_internal_validation,observed,20
force_at_6_rawpos_g_mean,F6,1,True,0.5,0.5,0.75,False,True,4,True,training_internal_validation,observed,15
force_at_6_rawpos_g_mean,F6,2,True,0.5,0.5,0.75,False,True,4,True,training_internal_validation,observed,25
force_at_6_rawpos_g_mean,F6,3,True,0.5,0.5,0.75,False,True,4,True,training_internal_validation,observed,9
force_at_6_rawpos_g_mean,F6,4,True,0.25,0.25,0.75,False,True,4,True,training_internal_validation,observed,24
force_at_6_rawpos_g_mean,F6,5,True,0.5,0.5,0.75,False,True,4,True,training_internal_validation,observed,28
loading_stiffness_g_per_rawpos_mean,LS,1,True,0.75,0.75,0.75,False,False,4,True,training_internal_validation,observed,33
loading_stiffness_g_per_rawpos_mean,LS,2,True,0.5,0.5,0.75,False,True,4,True,training_internal_validation,observed,30
loading_stiffness_g_per_rawpos_mean,LS,3,True,1.0,1.0,0.75,False,True,4,True,training_internal_validation,observed,11
loading_stiffness_g_per_rawpos_mean,LS,4,True,0.25,0.25,0.75,False,True,4,True,training_internal_validation,observed,36
loading_stiffness_g_per_rawpos_mean,LS,5,True,0.5,0.5,0.75,False,True,4,True,training_internal_validation,observed,20
loading_work_g_rawpos_mean,LW,1,True,0.75,0.75,0.75,False,False,4,True,training_internal_validation,observed,15
loading_work_g_rawpos_mean,LW,2,True,0.25,0.25,0.75,False,True,4,True,training_internal_validation,observed,9
loading_work_g_rawpos_mean,LW,3,True,0.75,0.75,0.75,False,False,4,True,training_internal_validation,observed,15
loading_work_g_rawpos_mean,LW,4,True,0.5,0.5,0.75,False,True,4,True,training_internal_validation,observed,20
loading_work_g_rawpos_mean,LW,5,True,0.25,0.25,0.75,False,True,4,True,training_internal_validation,observed,34
flesh_force_mean_g_mean,MFF,1,True,0.5,0.5,0.25,False,True,4,True,training_internal_validation,observed,11
flesh_force_mean_g_mean,MFF,2,True,0.25,0.25,0.25,False,False,4,True,training_internal_validation,observed,25
flesh_force_mean_g_mean,MFF,3,True,0.25,0.25,0.25,False,False,4,True,training_internal_validation,observed,11
flesh_force_mean_g_mean,MFF,4,True,0.25,0.25,0.25,False,False,4,True,training_internal_validation,observed,24
flesh_force_mean_g_mean,MFF,5,True,0.75,0.75,0.25,False,True,4,True,training_internal_validation,observed,21
skin_break_drop_g_mean,PFD,1,True,0.5,0.5,0.75,False,True,4,True,training_internal_validation,observed,14
skin_break_drop_g_mean,PFD,2,True,0.75,0.75,0.75,False,False,4,True,training_internal_validation,observed,12
skin_break_drop_g_mean,PFD,3,True,0.5,0.5,0.75,False,True,4,True,training_internal_validation,observed,39
skin_break_drop_g_mean,PFD,4,True,0.75,0.75,0.75,False,False,4,True,training_internal_validation,observed,12
skin_break_drop_g_mean,PFD,5,True,1.0,1.0,0.75,False,True,4,True,training_internal_validation,observed,17
post_break_work_g_rawpos_mean,PRW,1,True,0.5,0.5,0.25,False,True,4,True,training_internal_validation,observed,11
post_break_work_g_rawpos_mean,PRW,2,True,0.5,0.5,0.25,False,True,4,True,training_internal_validation,observed,25
