target,trait,model,n,rmse,mae,bias,r2,pearson_r,ccc,rpd,rpiq,y_mean,y_sd
adhesive_force_g_mean,AF,global_pls,4853,32.1111192217155,23.729905430565914,-3.3147924042053717e-15,-0.008412060695094148,0.26643820468441104,0.22462403794360342,0.9959229353138077,0.9830584408313483,4.568088472226484e-15,31.98020011150253
adhesive_force_g_mean,AF,cultivar_aware_pls,4853,31.481595609144318,23.121704914757505,-4.087853530274469e-15,0.030739270711944267,0.2793061604372078,0.2225636320849169,1.015837967952723,1.0027162278356698,4.568088472226484e-15,31.98020011150253
adhesive_force_g_mean,AF,nested_rbf_svr,4853,30.69630638134329,21.961766130935587,-7.215237176644907e-15,0.0784914118217056,0.2870533952602399,0.1788365245002312,1.0418256748616364,1.0283682474134785,4.568088472226484e-15,31.98020011150253
adhesive_force_g_mean,AF,residual_cnn,4853,29.95537502089911,21.551685463899762,-6.313332529564294e-15,0.12244030753542445,0.354655482154312,0.2500226852833238,1.0675947167809032,1.0538044265319866,4.568088472226484e-15,31.98020011150253
adhesive_force_g_mean,AF,no_neural_b50,4853,30.668589014787326,22.12954964600872,-5.58712359295393e-15,0.08015482105855187,0.2998602691054679,0.20629768207764212,1.0427672461906476,1.0292976563163247,4.568088472226484e-15,31.98020011150253
adhesive_force_g_mean,AF,cultivar_mean_null,4853,32.058607948265724,22.822041795964317,-2.9868270779942393e-15,-0.005116647407562347,-0.09535229362237882,-0.004545335789140709,0.9975542345166788,0.9846686682837351,4.568088472226484e-15,31.98020011150253
adhesive_force_g_mean,AF,plumspectra_corrected,4853,30.030020444038513,21.45666324856137,-3.2796532621113217e-15,0.1180612983534639,0.3439123353565178,0.218528386681841,1.064941003656598,1.0511849918409164,4.568088472226484e-15,31.98020011150253
adhesive_force_g_mean,AF,plumspectra_fixed_gate_sensitivity,4853,30.18604445895567,21.61906156384334,-4.029288293451053e-15,0.10887308723195188,0.33182098402659943,0.21461131761411728,1.05943659345584,1.0457516829795754,4.568088472226484e-15,31.98020011150253
flesh_force_mean_g_mean,MFF,global_pls,4853,42.14190333831034,32.03244002134763,2.155200715101726e-15,-0.09943102088702416,0.2136745184051943,0.18772671908662789,0.9538075509468306,1.007604360504618,-2.1083485256429925e-15,40.19526561535185
flesh_force_mean_g_mean,MFF,cultivar_aware_pls,4853,40.37177026264355,29.966297718788592,1.8975136730786934e-15,-0.009009557103796917,0.08990703399022176,0.03783344309532414,0.9956280181388275,1.0517835925301626,-2.1083485256429925e-15,40.19526561535185
flesh_force_mean_g_mean,MFF,nested_rbf_svr,4853,39.8120355588676,29.6429777658829,1.686678820514394e-15,0.01877532722842734,0.1789986451419629,0.09692549503546646,1.0096259849843043,1.0665710749921125,-2.1083485256429925e-15,40.19526561535185
flesh_force_mean_g_mean,MFF,residual_cnn,4853,39.011650556065646,28.796489586606516,1.85066148361996e-15,0.05783201197022203,0.2405268316908752,0.10751001275936038,1.0303400405369973,1.0884534480954804,-2.1083485256429925e-15,40.19526561535185
flesh_force_mean_g_mean,MFF,no_neural_b50,4853,39.52692963127031,29.181055678784116,1.0307481680921296e-15,0.03277869425723268,0.1818834844363451,0.0697251175793586,1.016908370832649,1.0742642031586749,-2.1083485256429925e-15,40.19526561535185
flesh_force_mean_g_mean,MFF,cultivar_mean_null,4853,40.29667367426503,29.82101317824517,3.1156705990057555e-15,-0.005259278081985119,-0.0966994134741326,-0.004672231226838608,0.9974834632820341,1.0537436887939384,-2.1083485256429925e-15,40.19526561535185
flesh_force_mean_g_mean,MFF,plumspectra_corrected,4853,38.9095875258573,28.735455032286367,3.5139142094049877e-16,0.06275539921246409,0.25327018677621616,0.10452769872151976,1.0330427067272343,1.09130855050641,-2.1083485256429925e-15,40.19526561535185
flesh_force_mean_g_mean,MFF,plumspectra_fixed_gate_sensitivity,4853,39.12730920588844,28.89164926277461,5.786245398153546e-15,0.052237200754881585,0.2295780833750164,0.09151328493882561,1.0272943995163024,1.0852360263315852,-2.1083485256429925e-15,40.19526561535185
force_at_6_rawpos_g_mean,F6,global_pls,4853,48.66878026758192,34.445041541191706,3.888731725074853e-15,-0.1152687047948544,0.14449098798437354,0.11742460133387124,0.947010930435349,0.8960500679879585,-1.4758439679500949e-15,46.08986688435631
